en_original;bg_original;cs_original;da_original;de_original;el_original;es_original;et_original;fi_original;fr_original;hr_original;hu_original;it_original;lt_original;lv_original;mt_original;nl_original;pl_original;pt_original;ro_original;sk_original;sl_original;sv_original;no_original;is_original
Warning: do not refill!;Предупреждение: не презареждайте!;Varování: nenaplňujte znovu!;Advarsel: må ikke genopfyldes!;Warnung: nicht nachfüllen!;Προειδοποίηση: μην επαναγεμίζετε!;Advertencia: ¡no recargar!;Hoiatus: ärge täitke uuesti!;Varoitus: älä täytä uudelleen!;Attention : ne pas recharger !;Upozorenje: ne puniti ponovno!;Figyelem: ne töltse újra!;Attenzione: non ricaricare!;Įspėjimas: neužpildykite!;Brīdinājums: neuzpildīt!;Twissija: tħallix timtela mill-ġdid!;Waarschuwing: niet navullen!;Ostrzeżenie: nie napełniać ponownie!;Atenção: não recarregue!;Avertisment: nu reumpleți!;Varovanie: neplniť!;Opozorilo: ne polnite ponovno!;Varning: fyll inte på!;Advarsel: ikke fyll på igjen!;Aðvörun: ekki fylla aftur!
Replacing the cartridge: handle in a well-ventilated place without sources of ignition. Close the shut-off valve on the device. Unscrew the device from the cartridge.;Смяна на патрона: работете на добре проветриво място без източници на запалване. Затворете спирателния вентил на устройството. Развийте устройството от патрона.;Výměna náplně: manipulujte na dobře větraném místě bez zdrojů zapálení. Uzavřete uzavírací ventil na zařízení. Odšroubujte zařízení z náplně.;Udskiftning af patronen: håndter på et godt ventileret sted uden antændelseskilder. Luk afspærringsventilen på enheden. Skru enheden af patronen.;Kartusche ersetzen: In einem gut belüfteten Bereich ohne Zündquellen handhaben. Schließen Sie das Absperrventil am Gerät. Schrauben Sie das Gerät von der Kartusche ab.;Αντικατάσταση της κασέτας: χειριστείτε σε καλά αεριζόμενο χώρο χωρίς πηγές ανάφλεξης. Κλείστε τη βαλβίδα διακοπής στη συσκευή. Ξεβιδώστε τη συσκευή από την κασέτα.;Reemplazo del cartucho: manipule en un lugar bien ventilado sin fuentes de ignición. Cierre la válvula de cierre del dispositivo. Desenrosque el dispositivo del cartucho.;Kasseti vahetamine: käsitsege hästi ventileeritavas kohas ilma süüteallikateta. Sulgege seadme sulgeventiil. Keerake seade kassettist lahti.;Patruunan vaihto: käsittele hyvin ilmastoidussa tilassa ilman sytytyslähteitä. Sulje laitteen sulkuventtiili. Kierrä laite irti patruunasta.;Remplacement de la cartouche : manipulez dans un endroit bien ventilé sans sources d'ignition. Fermez la vanne d'arrêt de l'appareil. Dévissez l'appareil de la cartouche.;Zamjena patrone: rukujte na dobro prozračenom mjestu bez izvora paljenja. Zatvorite zaporni ventil na uređaju. Odvijte uređaj s patrone.;Patroncsere: jól szellőző helyen, gyújtóforrások nélkül kezelje. Zárja el a készülék elzáró szelepét. Csavarja le a készüléket a patronról.;Sostituzione della cartuccia: manipolare in un luogo ben ventilato senza fonti di accensione. Chiudere la valvola di intercettazione sul dispositivo. Svita il dispositivo dalla cartuccia.;Kasetės keitimas: tvarkykite gerai vėdinamoje vietoje be uždegimo šaltinių. Uždarykite įrenginio uždarymo vožtuvą. Atsukite įrenginį nuo kasetės.;Kasetnes nomaiņa: apstrādājiet labi vēdināmā vietā bez aizdegšanās avotiem. Aizveriet ierīces noslēgšanas vārstu. Atskrūvējiet ierīci no kasetnes.;Ibdel il-kartuna: immaniġġja f'post ventilat tajjeb mingħajr sorsi ta' tqabbid. Għalaq il-valv tal-għeluq fuq l-apparat. Skroja l-apparat mill-kartuna.;Vervangen van de patroon: handel op een goed geventileerde plaats zonder ontstekingsbronnen. Sluit de afsluiter op het apparaat. Draai het apparaat van de patroon los.;Wymiana kartusza: Przeprowadź w dobrze wentylowanym miejscu bez źródeł zapłonu. Zamknij zawór odcinający na urządzeniu. Odkręć urządzenie od kartusza.;Substituição do cartucho: manuseie em local bem ventilado, sem fontes de ignição. Feche a válvula de corte do dispositivo. Desenrosque o dispositivo do cartucho.;Înlocuirea cartușului: manipulați într-un loc bine ventilat, fără surse de aprindere. Închideți robinetul de închidere al dispozitivului. Deșurubați dispozitivul de pe cartuș.;Výmena náplne: manipulujte na dobre vetranom mieste bez zdrojov zapálenia. Uzavrite uzatvárací ventil na zariadení. Odskrutkujte zariadenie z náplne.;Zamenjava kartuše: ravnajte v dobro prezračenem prostoru brez virov vžiga. Zaprite zaporni ventil na napravi. Odvijte napravo iz kartuše.;Byta patron: hantera på en välventilerad plats utan antändningskällor. Stäng avstängningsventilen på enheten. Skruva loss enheten från patronen.;Bytte av patron: håndter på et godt ventilert sted uten tennkilder. Lukk avstengningsventilen på enheten. Skru enheten av patronen.;Skipta um hylki: meðhöndla á vel loftræstu svæði án upptökum elds. Lokaðu lokunarventli á tækinu. Losaðu tækið frá hylkinu.
Guideline 96/59/EC (PCB and PCT);Насока 96/59/ЕО (ПХБ и ПХТ);Směrnice 96/59/ES (PCB a PCT);Retningslinje 96/59/EF (PCB og PCT);Richtlinie 96/59/EG (PCB und PCT);Κατευθυντήρια γραμμή 96/59/ΕΚ (PCB και PCT);Directiva 96/59/CE (PCB y PCT);Direktiiv 96/59/EÜ (PCB ja PCT);Direktiivi 96/59/EY (PCB ja PCT);Directive 96/59/CE (PCB et PCT);Smjernica 96/59/EZ (PCB i PCT);96/59/EK irányelv (PCB és PCT);Direttiva 96/59/CE (PCB e PCT);Direktyva 96/59/EB (PCB ir PCT);Vadlīnija 96/59/EK (PCB un PCT);Linji Gwida 96/59/KE (PCB u PCT);Richtlijn 96/59/EG (PCB en PCT);Dyrektywa 96/59/WE (PCB i PCT);Diretiva 96/59/CE (PCB e PCT);Directiva 96/59/CE (PCB și PCT);Smernica 96/59/ES (PCB a PCT);Smernica 96/59/ES (PCB in PCT);Riktlinje 96/59/EG (PCB och PCT);Retningslinje 96/59/EF (PCB og PCT);Leiðbeining 96/59/EB (PCB og PCT)
Decontaminated PCB-equipment. Fluid containing PCBs was replaced;Деконтаминирано оборудване с ПХБ. Течността, съдържаща ПХБ, беше заменена;Dekontaminované zařízení s PCB. Kapalina obsahující PCB byla nahrazena;Dekontamineret PCB-udstyr. Væske indeholdende PCB'er blev udskiftet;Dekontaminiertes PCB-Gerät. Flüssigkeit mit PCB wurde ersetzt;Απολυμασμένος εξοπλισμός PCB. Το υγρό που περιέχει PCB αντικαταστάθηκε;Equipo de PCB descontaminado. El fluido que contenía PCB fue reemplazado;Dekontamineeritud PCB-seadmed. PCB-sid sisaldav vedelik asendati;Dekontaminoitu PCB-laitteisto. PCB:tä sisältävä neste korvattiin;Équipement décontaminé contenant des PCB. Le fluide contenant des PCB a été remplacé;Dekontaminirana PCB-oprema. Tekućina koja sadrži PCB zamijenjena je;Dekontaminált PCB-berendezés. A PCB-t tartalmazó folyadékot kicserélték;Apparecchiatura decontaminata da PCB. Il fluido contenente PCB è stato sostituito;Dekontaminuota PCB įranga. Skystis, kuriame yra PCB, buvo pakeistas;Dekontaminēta PCB iekārta. Šķidrums, kas satur PCB, tika aizstāts;Tagħmir PCB dekontaminat. Il-fluwidu li fih PCBs ġie mibdul;Gedecontamineerde PCB-apparatuur. Vloeistof met PCB's werd vervangen;Zdekontaminowane urządzenie PCB. Płyn zawierający PCB został zastąpiony;Equipamento de PCB descontaminado. O fluido contendo PCBs foi substituído;Echipament decontaminat cu PCB. Fluidul care conținea PCB a fost înlocuit;Dekontaminované zariadenie s PCB. Kvapalina obsahujúca PCB bola nahradená;Dekontaminirana oprema PCB. Tekočina, ki vsebuje PCB, je bila zamenjana;Dekontaminerad PCB-utrustning. Vätska innehållande PCB ersattes;Dekontaminert PCB-utstyr. Væske som inneholdt PCB-er ble erstattet;Afmengað PCB-búnaður. Vökvi sem inniheldur PCB var skipt út
with (name of the substitute):;с (име на заместителя):;náhradou (název náhrady):;med (navn på erstatningen):;durch (Name des Ersatzstoffes):;με (όνομα του υποκατάστατου):;por (nombre del sustituto):;koos (asendaja nimi):;korvaavalla aineella (nimi):;par (nom du substitut) :;s (naziv zamjene):;a következőre (helyettesítő neve):;con (nome del sostituto):;su (pakaitalo pavadinimas):;ar (aizstājēja nosaukums):;b' (isem tas-sostitut):;door (naam van de vervanger):;przez (nazwa substytutu):;por (nome do substituto):;cu (numele substitutului):;názvom náhrady:;z (ime nadomestka):;med (namn på ersättningen):;med (navn på erstatningen):;með (nafn staðgengils):
on (date):;на (дата):;dne (datum):;den (dato):;am (Datum):;στις (ημερομηνία):;en (fecha):;kuupäeval (kuupäev):;päivämääränä (päivämäärä):;le (date) :;dana (datum):;a következő időpontban (dátum):;il (data):;data (data):;(datums):;fid-data (data):;op (datum):;dnia (data):;em (data):;la (data):;dátumom:;dne (datum):;den (datum):;den (dato):;á (dagsetning):
by (undertaking):;от (предприятие):;podle (podniku):;af (virksomhed):;durch (Unternehmen):;από (επιχείρηση):;por (empresa):;ettevõtte poolt:;toimijan mukaan:;par (entreprise) :;od strane (poduzeće):;a (vállalkozás):;da (impresa):;pagal (įmonę):;(uzņēmums):;minn (intrapriża):;door (onderneming):;przez (przedsiębiorstwo):;por (empresa):;de către (întreprindere):;podnik:;s strani (podjetja):;av (företag):;av (foretak):;af (aðili):
Concentration of PCBs in;Концентрация на ПХБ в;Koncentrace PCB v;Koncentration af PCB'er i;Konzentration von PCB in;Συγκέντρωση PCB σε;Concentración de PCB en;PCBde kontsentratsioon;PCB-yhdisteiden pitoisuus;Concentration de PCB dans;Koncentracija PCB-a u;PCB-k koncentrációja;Concentrazione di PCB in;PCB koncentracija;PCB koncentrācija;Konċentrazzjoni ta' PCB f';Concentratie van PCB's in;Stężenie PCB w;Concentração de PCBs em;Concentrația de PCB-uri în;Koncentrácia PCB v;Koncentracija PCB v;Koncentration av PCB i;Konsentrasjon av PCB i;Styrkur PCB í
replaced fluid:;заменена течност:;vyměněná kapalina:;udskiftet væske:;ersetzte Flüssigkeit:;αντικατεστημένο υγρό:;fluido reemplazado:;asendatud vedelik:;korvattu neste:;fluide remplacé :;zamijenjena tekućina:;cserélt folyadék:;fluido sostituito:;pakeistas skystis:;aizstātā šķidruma:;fluwidu mibdul:;vervangen vloeistof:;wymieniony płyn:;fluido substituído:;lichid înlocuit:;nahradená kvapalina:;zamenjana tekočina:;ersatt vätska:;erstattet væske:;skipt út vökva:
new fluid:;нова течност:;nová kapalina:;ny væske:;neue Flüssigkeit:;νέο υγρό:;nuevo fluido:;uus vedelik:;uusi neste:;nouveau fluide :;nova tekućina:;új folyadék:;nuovo fluido:;naujas skystis:;jaunais šķidrums:;fluwidu ġdid:;nieuwe vloeistof:;nowy płyn:;novo fluido:;lichid nou:;nová kvapalina:;nova tekočina:;ny vätska:;ny væske:;nýr vökvi:
Regulation (EC) No. 1107/2009 (plant protection products);Регламент (ЕО) № 1107/2009 (продукти за растителна защита);Nařízení (ES) č. 1107/2009 (přípravky na ochranu rostlin);Forordning (EF) nr. 1107/2009 (plantebeskyttelsesmidler);Verordnung (EG) Nr. 1107/2009 (Pflanzenschutzmittel);Κανονισμός (ΕΚ) αριθ. 1107/2009 (προϊόντα φυτοπροστασίας);Reglamento (CE) n.º 1107/2009 (productos fitosanitarios);Määrus (EÜ) nr 1107/2009 (taimekaitsevahendid);Asetus (EY) N:o 1107/2009 (kasvinsuojeluaineet);Règlement (CE) n° 1107/2009 (produits phytopharmaceutiques);Uredba (EZ) br. 1107/2009 (sredstva za zaštitu bilja);1107/2009/EK rendelet (növényvédő szerek);Regolamento (CE) n. 1107/2009 (prodotti fitosanitari);Reglamentas (EB) Nr. 1107/2009 (augalų apsaugos produktai);Regula (EK) Nr. 1107/2009 (augu aizsardzības līdzekļi);Regolament (KE) Nru 1107/2009 (prodotti għall-protezzjoni tal-pjanti);Verordening (EG) nr. 1107/2009 (gewasbeschermingsmiddelen);Rozporządzenie (WE) nr 1107/2009 (produkty ochrony roślin);Regulamento (CE) n.º 1107/2009 (produtos fitofarmacêuticos);Regulamentul (CE) nr. 1107/2009 (produse de protecție a plantelor);Nariadenie (ES) č. 1107/2009 (prostriedky na ochranu rastlín);Uredba (ES) št. 1107/2009 (fitofarmacevtska sredstva);Förordning (EG) nr 1107/2009 (växtskyddsmedel);Forordning (EF) nr. 1107/2009 (plantevernmidler);Reglugerð (EB) nr. 1107/2009 (plöntuverndarvörur)
Standard phrases for special risks for humans or the environment;Стандартни фрази за специални рискове за хората или околната среда;Standardní fráze pro zvláštní rizika pro člověka nebo životní prostředí;Standardfraser for særlige risici for mennesker eller miljøet;Standardformulierungen für besondere Gefahren für Mensch oder Umwelt;Τυποποιημένες φράσεις για ειδικούς κινδύνους για τον άνθρωπο ή το περιβάλλον;Frases estándar para riesgos especiales para humanos o el medio ambiente;Standardlauseid eririskide kohta inimestele või keskkonnale;Vakioilmaisut erityisistä riskeistä ihmisille tai ympäristölle;Phrases standard pour les risques particuliers pour l'homme ou l'environnement;Standardne fraze za posebne rizike za ljude ili okoliš;Szabványos kifejezések az emberekre vagy a környezetre vonatkozó különleges kockázatokra;Frasi standard per rischi speciali per l'uomo o l'ambiente;Standartinės frazės apie specialią riziką žmonėms ar aplinkai;Standarta frāzes par īpašiem riskiem cilvēkiem vai videi;Frasi standard għal riskji speċjali għall-bnedmin jew għall-ambjent;Standaardzinnen voor bijzondere risico's voor mensen of het milieu;Standardowe zwroty dotyczące szczególnych zagrożeń dla ludzi lub środowiska;Frases padrão para riscos especiais para humanos ou o ambiente;Fraze standard pentru riscuri speciale pentru oameni sau mediu;Štandardné frázy pre osobitné riziká pre ľudí alebo životné prostredie;Standardni stavki za posebna tveganja za ljudi ali okolje;Standardfraser för särskilda risker för människor eller miljön;Standardfraser for spesielle risikoer for mennesker eller miljøet;Staðlaðar setningar um sérstaka áhættu fyrir menn eða umhverfi
Special risks related to humans (RSh);Специални рискове, свързани с хората (RSh);Zvláštní rizika související s člověkem (RSh);Særlige risici relateret til mennesker (RSh);Besondere Gefahren für den Menschen (RSh);Ειδικοί κίνδυνοι που σχετίζονται με τον άνθρωπο (RSh);Riesgos especiales relacionados con los humanos (RSh);Inimestega seotud eririskid (RSh);Erityiset riskit ihmisille (RSh);Risques particuliers liés à l'homme (RSh);Posebni rizici povezani s ljudima (RSh);Emberekre vonatkozó különleges kockázatok (RSh);Rischi speciali relativi all'uomo (RSh);Speciali rizika, susijusi su žmonėmis (RSh);Īpaši riski saistībā ar cilvēkiem (RSh);Riskji speċjali relatati mal-bnedmin (RSh);Bijzondere risico's met betrekking tot mensen (RSh);Szczególne zagrożenia związane z ludźmi (RSh);Riscos especiais relacionados com humanos (RSh);Riscuri speciale legate de oameni (RSh);Osobitné riziká súvisiace s ľuďmi (RSh);Posebna tveganja v zvezi z ljudmi (RSh);Särskilda risker relaterade till människor (RSh);Spesielle risikoer relatert til mennesker (RSh);Sérstök áhætta tengd mönnum (RSh)
